ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 02:24:11 PM,KXATPCHALLENGERMATCH-26APR19TIUWEH-WEH,6,116,5,202,4,823,3,540,2,900,94,15,95,33,96,543,97,82,98,120,50.0
2026-04-18 02:24:34 PM,KXATPCHALLENGERMATCH-26APR19TIUWEH-WEH,7,8,6,116,5,202,4,823,3,540,94,15,95,33,96,543,97,82,98,120,50.5
2026-04-18 02:24:34 PM,KXATPCHALLENGERMATCH-26APR19TIUWEH-WEH,7,8,6,116,5,202,4,823,3,540,93,8,94,15,95,33,96,543,97,82,50.0
2026-04-18 02:25:16 PM,KXATPCHALLENGERMATCH-26APR19TIUWEH-WEH,7,8,6,116,5,202,4,823,3,540,93,8,94,365,95,33,96,543,97,82,50.0
2026-04-18 02:25:28 PM,KXATPCHALLENGERMATCH-26APR19TIUWEH-WEH,7,8,6,116,5,202,4,823,3,540,93,8,94,365,95,33,96,543,97,84,50.0
2026-04-18 02:31:05 PM,KXATPCHALLENGERMATCH-26APR19TIUWEH-WEH,8,8,7,8,6,116,5,202,4,823,93,8,94,365,95,33,96,543,97,84,50.5
2026-04-18 02:31:05 PM,KXATPCHALLENGERMATCH-26APR19TIUWEH-WEH,8,8,7,8,6,116,5,202,4,823,92,8,93,8,94,365,95,33,96,543,50.0
2026-04-18 02:32:15 PM,KXATPCHALLENGERMATCH-26APR19TIUWEH-WEH,9,8,8,8,7,8,6,116,5,202,92,8,93,8,94,365,95,33,96,543,50.5
2026-04-18 02:32:15 PM,KXATPCHALLENGERMATCH-26APR19TIUWEH-WEH,9,8,8,8,7,8,6,116,5,202,91,8,92,8,93,8,94,365,95,33,50.0
2026-04-18 02:33:46 PM,KXATPCHALLENGERMATCH-26APR19TIUWEH-WEH,10,8,9,8,8,8,7,8,6,116,91,8,92,8,93,8,94,365,95,33,50.5
2026-04-18 02:33:46 PM,KXATPCHALLENGERMATCH-26APR19TIUWEH-WEH,10,8,9,8,8,8,7,8,6,116,90,8,91,8,92,8,93,8,94,365,50.0
2026-04-18 02:35:15 PM,KXATPCHALLENGERMATCH-26APR19TIUWEH-WEH,11,8,10,8,9,8,8,8,7,8,90,8,91,8,92,8,93,8,94,365,50.5
